datetime,option_type,0,n_observed,spline_mode
2026-01-12 10:55:00,CE,3,11,cubic
2026-01-12 10:55:00,PE,5,9,cubic
2026-01-12 11:00:00,CE,5,9,cubic
2026-01-12 11:00:00,PE,6,8,cubic
2026-01-12 11:05:00,CE,4,10,cubic
2026-01-12 11:05:00,PE,2,12,cubic
2026-01-12 11:10:00,CE,3,11,cubic
2026-01-12 11:10:00,PE,2,12,cubic
2026-01-12 11:15:00,CE,3,11,cubic
2026-01-12 11:20:00,CE,1,13,cubic
2026-01-12 11:20:00,PE,1,13,cubic
2026-01-12 11:25:00,CE,1,13,cubic
2026-01-12 11:25:00,PE,4,10,cubic
2026-01-12 11:30:00,PE,2,12,cubic
2026-01-12 11:35:00,CE,3,11,cubic
2026-01-12 11:35:00,PE,4,10,cubic
2026-01-12 11:40:00,CE,2,12,cubic
2026-01-12 11:40:00,PE,3,11,cubic
2026-01-12 11:50:00,CE,3,11,cubic
2026-01-12 11:50:00,PE,1,13,cubic
2026-01-12 11:55:00,CE,3,11,cubic
2026-01-12 11:55:00,PE,3,11,cubic
2026-01-12 12:00:00,CE,1,13,cubic
2026-01-12 12:00:00,PE,3,11,cubic
2026-01-12 12:05:00,CE,3,11,cubic
2026-01-12 12:05:00,PE,2,12,cubic
2026-01-12 12:10:00,CE,1,13,cubic
2026-01-12 12:10:00,PE,5,9,cubic
2026-01-12 12:15:00,CE,2,12,cubic
2026-01-12 12:15:00,PE,1,13,cubic
2026-01-12 12:20:00,CE,3,11,cubic
2026-01-12 12:20:00,PE,3,11,cubic
2026-01-12 12:25:00,CE,2,12,cubic
2026-01-12 12:25:00,PE,1,13,cubic
2026-01-12 12:30:00,CE,3,11,cubic
2026-01-12 12:30:00,PE,3,11,cubic
2026-01-12 12:35:00,CE,2,12,cubic
2026-01-12 12:35:00,PE,4,10,cubic
2026-01-12 12:40:00,CE,4,10,cubic
2026-01-12 12:40:00,PE,4,10,cubic
2026-01-12 12:45:00,CE,6,8,cubic
2026-01-12 12:45:00,PE,4,10,cubic
2026-01-12 12:50:00,CE,2,12,cubic
2026-01-12 12:50:00,PE,1,13,cubic
2026-01-12 12:55:00,CE,3,11,cubic
2026-01-12 12:55:00,PE,4,10,cubic
2026-01-12 13:00:00,CE,5,9,cubic
2026-01-12 13:00:00,PE,3,11,cubic
2026-01-12 13:05:00,CE,3,11,cubic
2026-01-12 13:05:00,PE,4,10,cubic
2026-01-12 13:10:00,CE,1,13,cubic
2026-01-12 13:10:00,PE,2,12,cubic
2026-01-12 13:15:00,CE,5,9,cubic
2026-01-12 13:15:00,PE,5,9,cubic
2026-01-12 13:20:00,CE,4,10,cubic
2026-01-12 13:20:00,PE,3,11,cubic
2026-01-12 13:25:00,CE,5,9,cubic
2026-01-12 13:25:00,PE,4,10,cubic
2026-01-12 13:30:00,CE,4,10,cubic
2026-01-12 13:30:00,PE,5,9,cubic
2026-01-12 13:35:00,CE,3,11,cubic
2026-01-12 13:35:00,PE,2,12,cubic
2026-01-12 13:40:00,CE,4,10,cubic
2026-01-12 13:40:00,PE,5,9,cubic
2026-01-12 13:45:00,PE,4,10,cubic
2026-01-12 13:50:00,CE,4,10,cubic
2026-01-12 13:50:00,PE,1,13,cubic
2026-01-12 13:55:00,CE,2,12,cubic
2026-01-12 13:55:00,PE,5,9,cubic
2026-01-12 14:00:00,CE,5,9,cubic
2026-01-12 14:00:00,PE,5,9,cubic
2026-01-12 14:05:00,CE,5,9,cubic
2026-01-12 14:05:00,PE,3,11,cubic
2026-01-12 14:10:00,CE,3,11,cubic
2026-01-12 14:10:00,PE,3,11,cubic
2026-01-12 14:15:00,CE,1,13,cubic
2026-01-12 14:15:00,PE,3,11,cubic
2026-01-12 14:20:00,CE,4,10,cubic
2026-01-12 14:20:00,PE,4,10,cubic
2026-01-12 14:25:00,CE,2,12,cubic
2026-01-12 14:25:00,PE,4,10,cubic
2026-01-12 14:30:00,CE,3,11,cubic
2026-01-12 14:30:00,PE,2,12,cubic
2026-01-12 14:35:00,CE,5,9,cubic
2026-01-12 14:35:00,PE,2,12,cubic
2026-01-12 14:40:00,CE,3,11,cubic
2026-01-12 14:40:00,PE,4,10,cubic
2026-01-12 14:45:00,CE,6,8,cubic
2026-01-12 14:45:00,PE,3,11,cubic
2026-01-12 14:50:00,CE,4,10,cubic
2026-01-12 14:50:00,PE,4,10,cubic
2026-01-12 14:55:00,CE,1,13,cubic
2026-01-12 14:55:00,PE,5,9,cubic
2026-01-12 15:00:00,CE,2,12,cubic
2026-01-12 15:00:00,PE,5,9,cubic
2026-01-12 15:05:00,CE,2,12,cubic
2026-01-12 15:05:00,PE,4,10,cubic
2026-01-12 15:10:00,CE,6,8,cubic
2026-01-12 15:10:00,PE,3,11,cubic
2026-01-12 15:15:00,CE,3,11,cubic
2026-01-12 15:15:00,PE,4,10,cubic
2026-01-12 15:20:00,CE,4,10,cubic
2026-01-12 15:20:00,PE,5,9,cubic
2026-01-12 15:25:00,CE,3,11,cubic
2026-01-12 15:25:00,PE,2,12,cubic
2026-01-13 09:15:00,CE,5,9,cubic
